exercise_name,exercise_type,description,muscle_group,equipment_needed
Barbell Squat,Strength,"Stand with feet shoulder-width apart, barbell resting on upper back. Keep chest up, lower hips back and down as if sitting in a chair. Descend until thighs are parallel to ground, then drive through heels to return to starting position.","Quadriceps, Glutes, Hamstrings, Core","Barbell"
Deadlift,Strength,"Stand with feet hip-width apart, barbell over mid-foot. Bend at hips and knees, grip bar just outside knees. Keep back straight, chest up, drive through heels to lift bar, extending hips and knees simultaneously. Lower with control.","Hamstrings, Glutes, Lower Back, Core","Barbell"
Bench Press,Strength,"Lie on bench with feet flat on floor, eyes under bar. Grip bar slightly wider than shoulder-width. Lower bar to mid-chest, elbows at 45-degree angle. Press bar up until arms are extended, keeping shoulders on bench.","Chest, Shoulders, Triceps","Barbell,Bench"
Pull-ups,Strength,"Hang from bar with hands shoulder-width apart, palms forward. Pull body up until chin clears bar, squeezing shoulder blades together. Lower with control to full extension.","Back, Biceps, Shoulders","Pull-up Bar"
Push-ups,Strength,"Start in plank position, hands slightly wider than shoulders. Lower body until chest nearly touches floor, keeping core tight and back straight. Push up to return to starting position.","Chest, Shoulders, Triceps, Core","Bodyweight"
Lunges,Strength,"Stand with feet together, step forward with one leg. Lower hips until both knees are at 90-degree angles, front knee over ankle. Push through front heel to return to standing. Alternate legs.","Quadriceps, Glutes, Hamstrings","Bodyweight or Dumbbells"
Plank,Strength,"Start in push-up position on forearms, elbows under shoulders. Keep body in straight line from head to heels, engaging core and glutes. Hold position without sagging hips.","Core, Shoulders, Glutes","Bodyweight"
Dumbbell Rows,Strength,"Place one knee and hand on bench, other foot on floor. Keep back flat, pull dumbbell up to hip, squeezing shoulder blade. Lower with control.","Back, Biceps, Core","Dumbbell,Bench"
Overhead Press,Strength,"Stand with feet shoulder-width apart, dumbbells at shoulder level. Press weights overhead until arms are fully extended, keeping core tight. Lower with control to shoulders.","Shoulders, Triceps, Core","Dumbbells"
Bicep Curls,Strength,"Stand with dumbbells at sides, palms facing forward. Keep elbows close to body, curl weights up to shoulders. Squeeze biceps at top, lower with control.","Biceps, Forearms","Dumbbells"
Tricep Dips,Strength,"Sit on edge of bench, hands gripping edge on either side. Walk feet forward, lower body until elbows are at 90 degrees. Push up to return to start.","Triceps, Shoulders, Chest","Bench"
Leg Press,Strength,"Sit in leg press machine, feet shoulder-width apart on platform. Lower weight until knees are at 90 degrees, then press through heels to extend legs.","Quadriceps, Glutes, Hamstrings","Leg Press Machine"
Calf Raises,Strength,"Stand on edge of step with heels hanging off. Rise up onto toes as high as possible, hold briefly, then lower heels below step level.","Calves","Bodyweight or Dumbbells"
Russian Twists,Strength,"Sit with knees bent, feet off floor, leaning back slightly. Hold weight in front of chest, rotate torso side to side, touching weight to floor each time.","Obliques, Core, Shoulders","Weight or Medicine Ball"
Glute Bridges,Strength,"Lie on back with knees bent, feet flat on floor. Press through heels to lift hips toward ceiling, squeezing glutes at top. Lower with control.","Glutes, Hamstrings, Core","Bodyweight or Barbell"
Running,Cardio,"Maintain upright posture with slight forward lean, arms bent at 90 degrees. Land mid-foot, push off with toes, and maintain steady breathing. Pace can vary from jogging to sprinting.","Legs, Core, Cardiovascular System","Running Shoes,Treadmill"
Cycling,Cardio,"Adjust seat height for slight bend in knee at bottom of pedal stroke. Maintain smooth pedal rotation, engage core, keep upper body relaxed. Vary resistance and speed.","Legs, Glutes, Core","Stationary Bike or Bicycle"
Swimming,Cardio,"Front crawl: keep body horizontal, alternate arm strokes, breathe bilaterally every 3 strokes. Use flutter kick from hips, not knees. Maintain steady rhythm.","Full Body, Cardiovascular System","Swimsuit,Goggles"
Rowing,Cardio,"Sit on rowing machine with feet strapped in. Drive through legs, lean back slightly, pull handle to chest. Return with arms first, then torso, then legs.","Back, Legs, Core, Cardiovascular System","Rowing Machine"
Jump Rope,Cardio,"Hold handles at hip height, jump rope over head and under feet. Land softly on balls of feet, keep elbows close to body. Vary speed and footwork patterns.","Legs, Shoulders, Cardiovascular System","Jump Rope"
Stair Climber,Cardio,"Maintain upright posture, step naturally on machine, don't lean on handles. Engage core, take full strides, vary speed for intensity.","Legs, Glutes, Cardiovascular System","Stair Climber Machine"
Elliptical,Cardio,"Stand upright, hold moving handles, push pedals in smooth elliptical motion. Engage core, maintain steady pace, vary resistance and incline.","Full Body, Cardiovascular System","Elliptical Machine"
Walking,Cardio,"Maintain upright posture, swing arms naturally, land heel-to-toe. Can vary incline, speed, or add weights for increased intensity.","Legs, Cardiovascular System","Walking Shoes"
Kickboxing,Cardio,"Stand in boxing stance, throw combinations of punches (jab, cross, hook) and kicks. Keep guard up, rotate hips for power, maintain constant movement.","Full Body, Core, Cardiovascular System","Boxing Gloves,Heavy Bag"
Dance Cardio,Cardio,"Follow choreographed dance moves to music, maintaining constant movement. Include wide range of motion, varying levels and directions.","Full Body, Cardiovascular System","Dance Studio or Space"
Water Aerobics,Cardio,"Perform various movements in chest-deep water, using water resistance for added challenge. Include jogging, jumping jacks, and kick movements.","Full Body, Cardiovascular System","Swimming Pool"
Jumping Jacks,HIIT,"Start standing with feet together, arms at sides. Jump to spread feet apart while raising arms overhead. Jump back to starting position. Repeat rapidly.","Full Body, Cardiovascular System","Bodyweight"
Burpees,HIIT,"From standing, drop to squat with hands on floor. Kick feet back to plank position, perform push-up, jump feet to squat, then jump up with arms overhead.","Full Body, Cardiovascular System","Bodyweight"
Mountain Climbers,HIIT,"Start in plank position, drive one knee toward chest, then quickly switch legs. Keep hips low, maintain rapid pace as if running horizontally.","Core, Shoulders, Cardiovascular System","Bodyweight"
High Knees,HIIT,"Stand in place, drive knees up to waist height alternately. Pump arms, maintain rapid pace, land softly on balls of feet.","Legs, Core, Cardiovascular System","Bodyweight"
Skaters,HIIT,"Jump laterally from one leg to the other, landing on opposite foot, sweeping other leg behind. Swing arms for momentum, maintain quick transitions.","Legs, Glutes, Core, Cardiovascular System","Bodyweight"
Box Jumps,HIIT,"Stand in front of sturdy box, feet shoulder-width. Jump onto box, landing softly with knees slightly bent. Step down carefully and repeat.","Legs, Glutes, Core, Cardiovascular System","Plyometric Box"
Battle Ropes,HIIT,"Stand with feet shoulder-width apart, hold rope ends. Alternate arms whipping ropes up and down rapidly, or both arms simultaneously.","Shoulders, Arms, Core, Cardiovascular System","Battle Ropes"
Kettlebell Swings,HIIT,"Stand with feet wider than shoulders, kettlebell between legs. Hike bell back, then drive hips forward to swing bell to chest level.","Glutes, Hamstrings, Core, Cardiovascular System","Kettlebell"
Sprint Intervals,HIIT,"Alternate between maximum effort sprints and recovery periods (walking/jogging). Sprint for 20-30 seconds, recover for 60-90 seconds.","Legs, Cardiovascular System","Running Shoes,Track or Treadmill"
Medicine Ball Slams,HIIT,"Stand with feet shoulder-width, hold medicine ball overhead. Slam ball down to floor with maximum force, catching on rebound.","Full Body, Core, Cardiovascular System","Medicine Ball"
Bicycle Crunches,HIIT,"Lie on back, hands behind head, legs raised. Alternate bringing opposite elbow to knee in pedaling motion, engaging core throughout.","Core, Obliques, Cardiovascular System","Bodyweight"
Thrusters,HIIT,"Hold dumbbells at shoulders, perform squat then press weights overhead in one explosive movement. Lower to squat and repeat.","Full Body, Core, Cardiovascular System","Dumbbells"
Clean and Press,HIIT,"Explosively lift barbell from floor to shoulders in one movement, then press overhead. Lower with control and repeat.","Full Body, Core, Cardiovascular System","Barbell"
Ladder Drills,HIIT,"Move through agility ladder patterns: one-foot hops, two-feet jumps, in-and-out patterns. Maintain quick feet and light contact.","Legs, Coordination, Cardiovascular System","Agility Ladder"
Suicide Runs,HIIT,"Set cones at increasing distances. Sprint to first cone and back, then to second and back, continuing pattern. Maximum intensity sprints.","Legs, Cardiovascular System","Cones"
Jump Squats,HIIT,"Perform squat, then explode upward into jump. Land softly, immediately lower into next squat. Keep chest up throughout.","Legs, Glutes, Cardiovascular System","Bodyweight"
Dumbbell Snatch,HIIT,"Squat with dumbbell between legs, explosively pull weight overhead in one fluid movement while driving hips forward.","Full Body, Core, Cardiovascular System","Dumbbell"
Tire Flips,HIIT,"Squat low, grip tire edges, drive through legs and hips to flip tire. Step forward and repeat with maximum effort.","Full Body, Core, Cardiovascular System","Heavy Tire"
Wall Balls,HIIT,"Hold medicine ball at chest, squat down, then explode up throwing ball to high target on wall. Catch ball and immediately drop into next squat.","Legs, Shoulders, Core, Cardiovascular System","Medicine Ball,Wall Target"
Downward-Facing Dog,Yoga,"Start on hands and knees, spread fingers wide. Tuck toes and lift hips up and back, forming an inverted V-shape. Press chest toward thighs, heels toward floor, and relax head between arms. Hold for 5-10 breaths.","Hamstrings, Calves, Shoulders, Spine","Yoga Mat"
Child's Pose,Yoga,"Kneel on floor, touch big toes together, sit back on heels, knees hip-width apart. Fold torso forward over thighs, extend arms in front or rest beside body. Forehead rests on mat. Breathe deeply into back.","Lower Back, Hips, Thighs, Ankles","Yoga Mat"
Warrior I,Yoga,"From standing, step left foot back 3-4 feet, turn foot out 45 degrees. Bend right knee over ankle, square hips forward. Reach arms overhead, palms together. Gaze upward, hold for 5 breaths, switch sides.","Quadriceps, Glutes, Chest, Shoulders, Core","Yoga Mat"
Warrior II,Yoga,"From standing, step left foot back 3-4 feet, turn foot out 90 degrees. Bend right knee over ankle, extend arms parallel to floor. Gaze over right fingertips, hips open to side. Hold for 5 breaths, switch sides.","Quadriceps, Glutes, Shoulders, Core, Inner Thighs","Yoga Mat"
Triangle Pose,Yoga,"Stand with feet 3-4 feet apart, right foot forward, left foot at 90 degrees. Extend arms, hinge at right hip, lower right hand to shin or floor. Reach left arm upward, gaze at top hand. Hold 5 breaths, switch sides.","Hamstrings, Hips, Obliques, Shoulders, Spine","Yoga Mat"
Tree Pose,Yoga,"Stand tall, shift weight onto left foot, press right foot against inner left thigh. Bring hands to heart center or extend overhead. Focus gaze on fixed point, hold for 5-10 breaths, switch sides.","Hips, Glutes, Core, Ankles, Feet","Yoga Mat"
Cobra Pose,Yoga,"Lie face-down, legs extended, tops of feet on mat. Place hands under shoulders, elbows close to body. Press through hands to lift chest, keeping hips on floor. Draw shoulders back, open chest. Hold 5 breaths.","Spine, Chest, Shoulders, Abdominals","Yoga Mat"
Seated Forward Fold,Yoga,"Sit with legs extended in front, flex feet. Inhale, lengthen spine, exhale, hinge at hips to fold forward. Reach for feet or shins, keeping spine long. Hold 5-10 breaths.","Hamstrings, Lower Back, Spine, Calves","Yoga Mat"
Bridge Pose,Yoga,"Lie on back, knees bent, feet hip-width apart, arms at sides. Press through feet to lift hips toward ceiling. Clasp hands under back, roll shoulders under. Hold 5 breaths, lower with control.","Glutes, Hamstrings, Chest, Spine","Yoga Mat"
Camel Pose,Yoga,"Kneel on mat, knees hip-width apart, hands on lower back. Press hips forward, lean back, reach for heels one hand at a time. Keep thighs perpendicular, chest lifted. Hold 3-5 breaths, release slowly.","Quadriceps, Hip Flexors, Chest, Shoulders, Spine","Yoga Mat"
Twisted Chair Pose,Yoga,"Stand with feet together, squat as if sitting in chair. Bring palms together at heart, twist torso right, hook left elbow outside right thigh. Press palms, lengthen spine. Hold 5 breaths, switch sides.","Quadriceps, Core, Spine, Shoulders","Yoga Mat"
Boat Pose,Yoga,"Sit on mat, lean back, lift legs to 45 degrees, balance on sit bones. Extend arms forward, keep spine straight. Hold 30-60 seconds, engaging core throughout.","Abdominals, Hip Flexors, Spine","Yoga Mat"
Crow Pose,Yoga,"From squat, plant hands shoulder-width on mat. Place knees high on backs of arms, shift weight forward to hands. Lift feet off floor, balance on hands. Hold 3-5 breaths, gaze forward.","Core, Wrists, Shoulders, Hip Flexors","Yoga Mat"
Pigeon Pose,Yoga,"Start in downward dog, bring right knee forward between hands, rest shin on mat. Extend left leg straight back. Square hips, fold forward over right leg. Hold 5-10 breaths, switch sides.","Hips, Glutes, Hamstrings, Lower Back","Yoga Mat"
Cat-Cow Stretch,Yoga,"Start on hands and knees, tabletop position. Inhale, arch back, lift chest and tailbone (cow). Exhale, round spine, tuck chin and tailbone (cat). Flow between both for 10 breaths.","Spine, Core, Shoulders, Neck","Yoga Mat"
Dancer Pose,Yoga,"Stand on left foot, grab right foot behind with right hand. Raise left arm forward, kick right foot up and back, lean torso forward. Hold 5 breaths, switch sides.","Hips, Quadriceps, Core, Shoulders, Standing Leg","Yoga Mat"
Lizard Pose,Yoga,"From downward dog, step right foot outside right hand. Lower left knee to mat, keep right foot flat. Option to lower forearms to mat for deeper stretch. Hold 5 breaths, switch sides.","Hips, Groin, Hamstrings, Quadriceps","Yoga Mat"
Eagle Pose,Yoga,"Stand, wrap right thigh over left, hook right foot behind left calf. Cross right arm under left, press palms together. Lift elbows, hold 5 breaths, switch sides.","Hips, Shoulders, Ankles, Core","Yoga Mat"
Wheel Pose,Yoga,"Lie on back, bend knees, plant feet near hips. Place hands beside ears, fingers pointing toward shoulders. Press through hands and feet to lift body into full backbend. Hold 3-5 breaths.","Full Body, Spine, Chest, Shoulders, Hip Flexors","Yoga Mat"
Half Lord of the Fishes Pose,Yoga,"Sit with legs extended, bend right knee, place foot outside left thigh. Left foot by right hip. Twist torso right, left elbow outside right knee. Hold 5 breaths, switch sides.","Spine, Chest, Shoulders, Hips","Yoga Mat"
Side Plank,Yoga,"From plank position, shift weight to right hand, stack feet, lift left arm upward. Keep body in straight line, engage core. Hold 30-60 seconds, switch sides.","Obliques, Core, Shoulders, Arms","Yoga Mat"
Corpse Pose,Yoga,"Lie flat on back, legs slightly apart, arms at sides with palms up. Close eyes, relax entire body, breathe naturally. Rest for 5-10 minutes as final relaxation.","Full Body Relaxation, Nervous System","Yoga Mat"
Ladder Drills,HIIT,"Move through agility ladder patterns: one-foot hops, two-feet jumps, in-and-out patterns. Maintain quick feet and light contact.","Legs, Coordination, Cardiovascular System","Agility Ladder"
